text,author,likes,replyCount,encoded
"We need to release the information and just come together to research and tell the truth about these structures, aliens, and what the government knows about it all. Its MORE than past time for the truth to come out. The Giza Pyramids I have studied for years and there is just something incomprehensible about them. The official narrative is laughably bad, something is up there and we need to find out as a society for all of humanity what that is. Im tired of governments hiding information and their corruption. Screw Zahi for playing as a bad actor to cover up the truth.",@sunskyriver,2,0,"[-0.027724765, -0.0072590206]"
EVERYTHING IS A LIE.....,@TheBullet51,1,0,"[0.0314988, -0.04526912]"
But i thought the paper didn't undergo peer review yet?  Doesn't that just make it conjecture?,@PrinnyLover,1,0,"[-0.0011248891, 0.033992544]"
Zahi IS A LIAR!,@emiibbb,1,0,"[-0.009080646, -0.0009379038]"
"no, the orignal published paper doesn't say anything of this, it's pretty inconclusive, the radar images aren't that clear, just a bunch of blobs",@MountainGuerrilla,1,0,"[0.013021283, -0.005064235]"
"Archaeologist didn't used to be restricted by environmental protection or UNESCO, they could do as they pleased. Personally, I believe this is poppycock & balderdash.",@LocomotiveThought,0,0,"[-0.024027245, -0.042712178]"
I love pyramid shi💩🤗,@MAN_MAN730,0,0,"[-0.048093226, -0.028747808]"
Its literally not real,@joshhobson2340,0,0,"[-0.02749655, -0.022526657]"
"Sure, they see stuff with lidar, but they are just making shit up saying it's coils.  They are reaching pretty far on this one.",@bradythomas5532,0,0,"[-0.037381146, -0.021367365]"
"All lies this has been debunked already not everything these morons say should be taken literal at every word. Joe Rogan is a failed actor and fighter who's entire career was based off a show that ripped off jackass. This dude is just a straight up liar, go read the report nothing in it has anything to do with wells under the pyramid NOTHING.",@rob16797,0,0,"[-0.010521939, -0.0032944435]"
"They better hurry up and study how this structure works, we got something coming in space",@davidvilla-o8w,0,0,"[0.026482435, -0.01754065]"
People were living inside subterranean hyperbaric chambers,@samuelreed2994,0,0,"[-0.006054269, -0.02309073]"
Please get Hancocks reaction,@LittlebearJubba88,0,0,"[-0.048861247, 0.02809413]"
Turn it on give the people air!,@AGLTONY,0,0,"[-0.03374743, -0.0149589265]"
Fake news 😂,@mikafiltenborg7572,0,0,"[0.018257616, -0.0017090137]"
"If you still believe the Egyptians, the ones who wore pretty headdresses and long robes, built these things, then ya brainwashed.",@KingofNothing-me,0,0,"[-0.003387079, -0.041109994]"
Looks like giant suspension for when the alien ships landed on top of the pyramids like in Stargate,@DirectAim,0,0,"[-0.022522954, -0.019621972]"
That's BS!,@Ansem1689,0,0,"[0.0121358875, -0.010615977]"
Props for Sleep Token tee,@IPleadGuilty,0,0,"[-0.08938587, 0.019476073]"
Joe rogan is not smart.. there’s zero evidence for these 8 cylindrical structures and joe repeats it without question… i worry for americans..,@George2647g,0,0,"[0.026345912, -0.039464857]"
It’s where I’m buried.,@joshuahamilton5606,0,0,"[0.024576196, 0.008577165]"
So is it real?,@ghull544,0,0,"[-0.032671764, -0.004632554]"
Conspiricists right again 😂😂,@triztenklk,0,0,"[-0.012620866, 0.0054813586]"
Patently bullshit. You don’t see such things in the real world. I wonder what is the purpose of psyops like this and the disclosure nothing-burger from a year or two ago.,@markmason7117,0,0,"[-0.0033961264, -0.030653995]"
The void century,@marcosgarcia3169,0,0,"[-0.02571322, 0.017018333]"
So when are they going to apologize for the lies about the Egyptians using Jews slaves  build these structures. 😂😂😂😂. All the Hollywood movies of lies/propaganda  😂😂😂😂,@Saeedmustapha-v1l,0,0,"[0.02830536, -0.02771228]"
Fact check joe someone,@LawsOnJoystick,0,0,"[0.036332488, 0.02431053]"
I thought lidar only removed top layer?? Not deep in the earth??,@bandyvamafan4851,0,0,"[0.025472956, -0.05989293]"
"Have the idiots in the comments seen the actual 'scans' that those ludicrous CGI images Rogan is frothing over were based on? For fucks sake people, your minds are COOKED.",@mw5360,0,0,"[0.0028486277, -0.028886484]"
This has been completely debunked. Rogan is brain-meltingly bad these days. Who watches this shit any more?,@mw5360,0,0,"[0.052491643, -0.052108373]"
The desert was once  a green and plush land that became arrid. What if the pyramids was a failed attempt at a pumping station to irrigate  the land.,@sydneypauley3187,0,0,"[0.030592937, -0.0079647815]"
So it was a powerstation then ?,@Mr.Monster1313,0,0,"[-0.02191607, -0.030226303]"
They are the grain silos to save the people of the earth during a famine of 7 years,@WRLRDMT,0,0,"[0.04343235, 0.0043560998]"
hoax,@RoverWaters,0,0,"[0.013239126, 0.005644247]"
"Its a FTL communication reciever for intergalactic communication like the ice cube observatory in Antartica controlled by the USA. That too also has rods that go down 2 km. The facility has a dual use which is rumoured to also be a weapon causing massive storms, earthquakes and floods. Done by bouncing microwaves off the earths atmosphere back down to the location you want to destroy. No doubt many of these around the world, basically a comms system for interplanetary communication.",@adamali813,1,0,"[0.012055212, -0.00015137503]"
That pretty much destroys any theory that man made the pyramids lol,@shangdi3162,0,0,"[-0.011951898, -0.03726304]"
"If this is true, then there is a 1/3 mile long earth mover sitting on the moon.  Wait, there probably is.",@americanandpinay,0,0,"[0.043297168, -0.024629598]"
Epic morons 😢,@virtuallydeadrich,0,0,"[-0.040008854, -0.009158626]"
What about the aquafurs underneath?These pillars just plunge straight through all that?,@sparkey535,0,0,"[-0.0054651764, -0.044588193]"
Hawas will commit suicide if this is proved,@leemugleston6422,0,0,"[0.0015576476, -0.002610753]"
Noooooo leave it alone life is getting good !!!,@12Tribes4EVER,0,0,"[-0.038379185, -0.06934089]"
We need Hancock!,@NatalieTurner-l5y,0,0,"[-0.023655798, 0.037094735]"
Nikola Tesla might have had an idea what it’s for,@AlexT-md9df,0,0,"[-0.033662323, 0.012407481]"
they used microwaves. Microwaves can no penetrate the ground so you can not probe what is underground…However they tried to reconstruct underground structure from the vibration of the surface. The likely hood of those reconstructions being correct depends on the very questionable algorithm they used.,@phildurre9492,0,0,"[0.020890426, -0.004941324]"
""" it was not built by humans """,@angeloariola5041,0,0,"[0.009288114, -0.0005592971]"
Waiting to see the news where the government has closed down the site for a few weeks for clean up.,@Poppyruth69,0,0,"[0.009192664, 0.007704713]"
acoustic pressure dampening with natural stone for shielding,@robertthomason8905,0,0,"[-0.054060936, -0.07980028]"
Earthquake shocks,@Ojodeoro666,0,0,"[-0.0017885515, -0.022799231]"
"What kinda crap is this. Rogan, go back to telling jokes.",@AmpleVagina,0,0,"[0.0018813543, -0.025555145]"
Liquid Hold. Mercury,@amandamrs.4904,0,0,"[0.048413027, 0.030173738]"
"It seems most of you are eating this up. Ya, I'm gonna believe the people up top. The same folks trying to bring us down. Sounds like diversion.",@tigerbalmespresso,0,0,"[0.031792656, -0.024007997]"
rogan will beleive in mystical gargoyles if its on the internet.  enuff dude learn something for fuc sake,@sandrofuertes4154,0,0,"[-0.06044509, -0.064567484]"
But Snopes says its bullshit 😂,@ssvd91,0,0,"[0.018672252, -0.02998659]"
Anyone got credible source of this? I can’t find one. So don’t act surprised when this is complete and utter nonsense,@ItzD3fW1sH,0,0,"[-0.007651274, -0.0124440435]"
They also found Omer Sympson grave over there,@carasau67,0,0,"[0.006152858, 0.042981282]"
Mayonnaise 😂😂😂,@Ayoub6rotterdam,0,0,"[-0.014805457, -0.014154933]"
"Mo , pharon alive in Italiana 55 restaurant in Manchester, go and check.",@Ayoub6rotterdam,0,0,"[-0.019210527, -0.0042315456]"
Get Billy Carson back on your show!,@PrometheusRomeo,0,0,"[0.04105862, -0.052589346]"
"I don't know what's under there, but either does lidar. It doesn't penetrate the earth.",@speedobump1,0,0,"[-0.009925521, -0.055274285]"
This story will be buried like the structures themselves...,@jdemarco,0,0,"[-0.023535047, -0.047455147]"
Giant shock absorbers. It was a doomsday shelter,@Perfect_Pizza,0,0,"[0.023212213, -0.018221438]"
Chris wearing a Sleep Token Tee on the biggest podcast in the world is the BEST free advertising for such an amazing band! Respect to Chris for having good taste. I hope he talked to Joe about them.,@mhk187,2,0,"[-0.02362623, 0.019368013]"
Imagine if those coils are made of pure gold ( conductive metals ) …. Imagine how much would it be worth in today’s time,@mottz1382,0,0,"[-0.016512545, 0.046176426]"
Huh truth!?,@ShyneThyLyte,0,0,"[-0.04798816, 0.009556145]"
just fking sent someone exploring it why they always make it harder instead overthinking if there's no volunteers I'll go,@kennypxxa6435,0,0,"[0.02283579, -0.028563747]"
Pretty sure they knew this years ago...and finally released the info😂,@Antihero-4132,0,0,"[-0.018406644, 0.0033509291]"
No one knows how the pyramids were built no matter what they say. I'd bet the ones in Mexico and Central America have the same structures. Built by the same race on,@pauleckert882,0,0,"[-0.027821312, 0.01174392]"
They also found what is believed to be 5 different tombs under there!,@ethan762001,0,0,"[-0.040548794, 0.020690655]"
They been knowing theres tunnels under the pyramids for hundreds of years.,@IAMJ96,0,0,"[-0.03586325, -0.06061663]"
I don't like they keep showing the artist rendition of what they think ot looks like instead of showing the actual data..trying to psyop some bullshit into our brains...it may be something it may not ...shiw the actual photos and let us make up our own minds!! It's bullshit until proven otherwise,@mikeevans4051,0,0,"[0.00829699, -0.026033187]"
So the pyramids are just the tip of the iceberg.,@bhuppi13,0,0,"[0.019396681, -0.0157277]"
“Quaid….start the reactor”,@robertdirocco1885,0,0,"[-0.01117148, -0.038913775]"
Jaimo!! Got a guest you guys could look into.Michael Tellinger -Adam's Calendar.He would be a great guest,@TheTakbok,0,0,"[-0.010026727, 0.030651182]"
every structure built properly has to have a foundation maybe they hit massive caverns and had to hit solid ground the pyramids would weigh millions of tons millions,@Jtothec-g7f,0,0,"[0.021810066, -0.010244323]"
"Get Ben Van Kerkwyk,Christopher Dunn,Randall And Graham around yo big ole table Joey!",@TheTakbok,0,0,"[0.02004176, -0.010833187]"
Jesus is Lord.,@maness777,0,0,"[0.002459201, 0.008193113]"
The advanced civilization has lived underground since the cataclysm and they are still there,@Hektik_84,0,0,"[-0.028060023, 0.026533125]"
Wonder if it’s just the shit to hold everything up lmao 🤣 like pillars,@Ginganinja247.,0,0,"[-0.016176755, -0.055944104]"
Sleep Token,@YukonCorneliusMJH,0,0,"[-0.021888062, 0.005434989]"
Where's the full episode please?,@Softgyalera,0,0,"[0.057759937, -0.025773473]"
Synthetic Aperture Radar.....,@arramon777,0,0,"[0.029666843, -0.024985567]"
They have know forever...,@tommtom8662,0,0,"[-0.010913385, -0.015360698]"
Graham.... Truth.... Haha,@saudade2745,0,0,"[-0.009229342, -0.017457131]"
Transformers was right all along,@noahclauson754,0,0,"[-0.020213032, -0.020714814]"
Is this AI?,@johnsenttv,0,0,"[-0.015528116, -0.016430603]"
So .... people think that these were built by an advanced civilization.... A giant triangle.....they think that an advaned civilization with access to better tech than we possess now ....built pyramids out of limestone..... Not some kind of polymer or advanced material....but stone age materials....Make it make sense,@kingcutler953,0,0,"[0.011944028, 0.026868813]"
"My bet, either another older city or a burial ground that’s much older",@TheHamilton26,0,0,"[-0.005100067, 0.03939089]"
"Listen, there is a good reason why the people whom are in charge of the pyramids (Zahi Hawass) don't want to excavate or have other people come and excavate is because the truth will inevitably come out as the Egyptians did not construct/build the pyramids, they merely took advantage of the fact that they were found and build in their backyard and they don't want people pocking around and finding out the truth. There are no hieroglyphs or tombs inside, its all a ruse to get you to believe its a tomb.",@jamesglandon3737,0,0,"[-0.03068711, 0.027340008]"
The thing is I am not sure Dr. Zahi Hawass wants Egyptology to be different than what he thinks it is right now…,@LiaSunshine67,0,0,"[-0.007954584, -0.0047100964]"
"hancock is a funking liar ! He parcours the world, any structure in a non white  country is built by aliens or some ancient white headed people with zero proof ! F him !",@saninkontron925,0,1,"[-0.03473153, -0.036202136]"
Tesla Knew!,@Foodstamp_Plug,0,0,"[-0.030852519, 0.00040848242]"
"Need to see the actual data, not some cock a mamy rendering.",@DanWhe,0,0,"[-0.026118727, 0.013223876]"
https://youtu.be/BtwRqdCMGj4?si=XijOUUV7koO6Dovg,@MarcelaGotta,0,0,"[0.005879952, -0.0085050585]"
How long has lidar been a thing? Only now they decide to look at pyramids with it? Nahhhh they've known this a long time but only just told the secret now for some reason,@MrSmartDan,0,0,"[-0.020429155, -0.08664668]"
Pre flood power station. (Not built by Egyptians),@dudeinc6291,1,0,"[-0.010434977, -0.00054249464]"
Definitely hidden spaceships,@OMrmillert,0,0,"[-0.015453865, -0.039604645]"
"And they say discovery that just happened??Hello, this report of these italian guys is published in 2022😂",@JohnnyTenacious,0,0,"[-0.017087283, 0.0045990054]"
Came here to confirm that he was wearing a Sleep Token t shirt and I was correct.Worship.,@kels1302,0,0,"[-0.050839886, 0.013176378]"
Why isn't this on the news all over the world.....we all know why. The powers that be don't want the truth of our history to challenge the narrative they have cultivated to the masses for decades.,@Im_Not_From_Around_Here,0,0,"[-0.02712015, 0.00017127309]"
We need to get to the library immediately. God knows they will try to hide this from us.,@What_a_Millennial,0,0,"[-0.0035359173, 0.0006416202]"
"If this is true, then how were they built by an ancient civilization thousands of years ago?",@knockoutking3764,0,0,"[-0.0042413585, -0.011496423]"
Càn we just love each other in the meantime because I'm really starting to feel like an ant,@the_psychic_ward,0,0,"[0.01220046, -0.065681405]"
"50.00 USD says at the now known bottom, you find out its the top floor of a shopping mall🃏",@_JackNapier,0,0,"[0.05243868, -0.010091264]"
"This is like the Pyramids in minecraft , now i see why most of games and cartoons predicted exactly everything.",@itvlian4889,0,0,"[-0.07065589, -0.02420055]"
pyramid stuff is media brainwashing....again,@chriscook7897,0,0,"[0.023366679, -0.0315493]"
This crazy thing about the pyramids it's just like the crazy thing about those mexican aliens.,@JonDifull-rn7rj,0,0,"[-0.0068599517, -0.0063345605]"
"Graham Hancock sittin back like ""I told you, motherfuckers""....",@TheUncheckedComments,0,0,"[-0.032149006, 0.0046151527]"
Crap video ended to early,@Userjdjddss,0,0,"[-0.024668295, -0.028126663]"
Mainstream Archeologists should apologize to Graham Hancock and to many others who worked outside and didn't conform with mainstream Archeologists dogma,@vansavestheday9968,0,0,"[0.0075070616, -0.021878134]"
